disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Huntington disease,Behavioral disturbances,Hallucinations,Irritability,Moodiness,Restlessness or fidgeting,Paranoia,Psychosis,Abnormal and unusual movements include,Facial movements including grimaces,Head turning to shift eye position,Quick sudden sometimes wild jerking movements of arms legs face and other body parts,Slow uncontrolled movements,Unsteady gait including prancing and wide walk,Dementia that slowly gets worse including,Disorientation or confusion,Loss of judgment,Loss of memory,Personality changes,Speech changes such as pauses while talking,Anxiety stress and tension,Difficulty swallowing,Speech impairment,Rigidity,Slow movements,Tremor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydatidiform mole,Abnormal growth of uterus either bigger or smaller than usual,Severe nausea and vomiting,Vaginal bleeding during first 3 months of pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocarbon pneumonia,Coma,Coughing,Fever,Shortness of breath,Smell ofhydrocarbon product on breath,Stupordecreased level of alertness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocele,A hydrocele may occur on one or both sides,However right side is more commonly involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocephalus,In infants hydrocephalus causes fontanelle soft spot to bulge and head to be larger than expected,Eyes that appear to gaze downward,Irritability,Seizures,Separated sutures,Sleepiness,Vomiting,Brief shrill highpitched cry,Changes in personality memory or ability to reason or think,Changes in facial appearance and eye spacing,Crossed eyes or uncontrolled eye movements,Difficulty feeding,Excessive sleepiness,Headache,Irritability poor temper control,Loss of bladder control urinary incontinence,Loss of coordination and trouble walking,Muscle spasticity spasm,Slow growth child 0 to 5 years,Slow or restricted movement,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochloric acid poisoning,Abdominal pain  severe,Breathing difficulty due to swelling of throat,Chest pain  severe,Drooling,Fever,Mouth pain  severe,Rapid drop in blood pressure shock,Throat pain  severe,Vomiting bloody,Bluish color to lips and fingernails,Chest tightness,Choking,Coughing,Coughing up blood,Dizziness,Low blood pressure,Rapid pulse,Shortness of breath,Weakness,Blisters,Burns,Pain,Vision loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocodone and acetaminophen overdose,Bluishcolored fingernails and lips,Breathing problems including slow and labored breathing shallow breathing or no breathing,Cold clammy skin,Coma,Confusion,Dizziness,Drowsiness,Fatigue,Lightheadedness,Liver failure from acetaminophen overdose causing yellow skin and eyes jaundice,Loss of consciousness,Low blood pressure,Muscle twitches,Nausea and vomiting,Tiny pupils,Seizures,Spasms of stomach and intestines,Weakness,Weak pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocodone/oxycodone overdose,Eyes ears nose and throat,Pinpoint pupils,Gastrointestinal system,Constipation,Nausea,Spasms pain of stomach or intestinal tract,Vomiting,Heart and blood vessels,Low blood pressure,Weak pulse,Nervous system,Coma unresponsiveness,Drowsiness,Possible seizures,Respiratory system,Difficulty breathing,Slow breathing that requires more effort,Shallow breathing,No breathing,Skin,Bluishcolored fingernails and lips,Muscle damage from being immobile while unresponsive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrofluoric acid poisoning,Abdominal pain,Breathing difficulty from throat and mouth swelling and burning,Collapse from low blood pressure or shock,Chest pain,Drooling,Irregular heartbeat,Mouth pain,Throat pain,Vomiting blood,From breathing in inhaling acid,Bluish colored lips and fingernails,Chills,Choking,Coughing,Dizziness,Fever,Tight chest,Weakness,Blisters,Burns,Pain,Vision loss,Hydrofluoric acid poisoning can have direct effects on heart,It can lead to irregular and sometimes lifethreatening heartbeats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen peroxide poisoning,Abdominal pain and cramping,Breathing difficulty iflarge amount is swallowed,Body aches,Burns in mouth and throat if swallowed,Chest pain,Eye burns if it gets in eyes,Seizures rare,Stomach swelling,Temporary white color to skin,Vomiting sometimes with blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydromorphone overdose,Bluishcolored fingernails and lips,Breathing problems including slow and labored breathing shallow breathing or no breathing,Cold clammy skin,Coma,Confusion,Constipation,Dizziness,Drowsiness,Fatigue,Flushing of skin,Itching,Lightheadedness,Loss of consciousness,Low blood pressure,Muscle twitches,Nausea and vomiting,Pinpoint pupils,Spasms of stomach and intestines,Weakness,Weak pulse,A severe overdose of hydromorphone can cause death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydronephrosis of one kidney,Flank pain,Abdominal mass especially in children,Nausea and vomiting,Urinary tract infection,Fever,Painful urination dysuria,Increased urinary frequency,Increased urinary urgency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrops fetalis,Liver swelling,Change in skin color pallor,Breathing problems,Bruising or purplish bruiselike spots on skin,Heart failure,Severe anemia,Severe jaundice,Total body swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroxyzine overdose,Shortness of breath,Difficulty urinating,Blurred vision,Dry mouth,Enlarged pupils,Very dry eyes,Ringing in ears,Rapid heartbeat,Low blood pressure,Pounding heartbeat palpitations,Agitation,Coma decreased level of consciousness and lack of responsiveness,Seizures,Delirium,Depression,Disorientation,Dizziness,Drowsiness,Excitation,Hallucinationsseeing or hearing things that arentre,Nervousness,Sleeping difficulties,Tremor,Uncoordinated movement,Unsteadiness,Flushed skin,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperaldosteronism - primary and secondary,High blood pressure,Low level of potassium in blood,Feeling tired all time,Headache,Muscle weakness,Numbness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypercalcemia,Increased thirst or more frequent urination due to changes in kidneys,Muscle weakness or twitches,Changes in how your brain works such as feeling tired or fatigued or confused,Bone pain and fragile bones that break more easily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperemesis gravidarum,Severe persistent nausea and vomiting during pregnancy,Salivatinglot more than normal,Weight loss,Signs of dehydration such as dark urine dry skin weakness lightheadedness or fainting,Constipation,Inability to take in adequate amounts of fluid or nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperglycemia - infants,Sometimes babies with high blood sugar will produce large amounts of urine and become dehydrated,High blood sugar may besign that baby has added stress on body due to problems such asinfection or heart failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperhidrosis,Wetness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperimmunoglobulin E syndrome,Bone and tooth defects including fractures and losing baby teeth late,Eczema,Skin abscesses and infection,Repeated sinus infections,Repeated lung infections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperkalemic periodic paralysis,Most commonly occurs at shouldersback and hips,May also involve arms and legs but does not affect muscles of eyes andmuscles that helpwith breathing and swallowing,Most commonly occurs while resting after activity or exercise,May occur on awakening,Usually lasts 15 minutes to 1 hour but may last up toentire day,Eatinghigh carbohydrate meal,Rest after exercise,Exposure to cold,Skipping meals,Eating potassiumrich foods or taking medicines that contain potassium,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperparathyroidism,Bone pain or tenderness,Depression and forgetfulness,Feeling tired ill and weak,Fragile bones of limbs and spine that can break easily,Increased amount of urine produced and needing to urinate more often,Kidney stones,Nausea and loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypersensitivity pneumonitis,Chills,Cough,Fever,Malaise feeling ill,Shortness of breath,Breathlessness especially with activity,Cough often dry,Loss of appetite,Unintentional weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypersensitivity vasculitis,New rash with tender purple or brownishred spotsover large areas,Skin sores mostly located on legs buttocks or trunk,Blisters on skin,Hives urticaria may last longer than 24 hours,Open sores with dead tissue necrotic ulcers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypersplenism,Enlarged spleen,Low level of one or more types of blood cells,Feeling full too soon after eating,Stomach pain on left side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Anxiety,Difficulty concentrating,Fatigue,Frequent bowel movements,Goiter visibly enlarged thyroid gland or thyroid nodules,Hair loss,Hand tremor,Heat intolerance,Increased appetite,Increased sweating,Irregular menstrual periods in women,Nail changes thickness or flaking,Nervousness,Pounding or racing heart beat palpitations,Restlessness,Sleep problems,Weight loss or weight gain in some cases,Breast development in men,Clammy skin,Diarrhea,Feeling faint when you raise your hands,High blood pressure,Itchy or irritated eyes,Itchy skin,Nausea and vomiting,Protruding eyes exophthalmos,Skin blushing or flushing,Skin rash on shins,Weakness of hips and shoulders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertrophic cardiomyopathy,Chest pain,Dizziness,Fainting especially during exercise,Fatigue,Lightheadedness especially with or after activity or exercise,Sensation of feeling heart beat fast or irregularly palpitations,Shortness of breath with activity or after lying down or being asleep forwhile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervitaminosis A,Abnormal softening of skull bone in infants and children,Blurred vision,Bone pain or swelling,Bulging of soft spot ininfants skull fontanelle,Changes in alertness or consciousness,Decreased appetite,Dizziness,Double vision in young children,Drowsiness,Hair changes such as hair loss and oily hair,Headache,Irritability,Liver damage,Nausea,Poor weight gain in infants and children,Skin changes such as cracking at corners of mouth higher sensitivity to sunlight oily skin peeling itching and yellow color to skin,Vision changes,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervitaminosis D,An excess of vitamin D causes abnormally high levels of calcium in blood hypercalcemia,This can severely damage kidneys soft tissues and bones over time,Constipation,Decreased appetite anorexia,Dehydration,Fatigue,Frequent urination,Irritability,Muscle weakness,Vomiting,Excessive thirst polydipsia,High blood pressure,Passing large amounts of urine polyuria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphema,Bleeding in anterior chamber of eye,Eye pain,Light sensitivity,Vision abnormalities,You may not be able to seesmall hyphema when looking at your eye in mirror,Withtotal hyphema collection of blood will block view of iris and pupil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypogonadism,Hot flashes,Energy and mood changes,Menstruation becomes irregular or stops,In boys hypogonadism affects muscle beard genital and voice development,It also leads to growth problems,Breast enlargement,Muscle loss,Decreased interest in sex low libido,Headaches or vision loss,Milky breast discharge fromprolactinoma,The most common tumors affecting pituitary are craniopharyngioma in children and prolactinoma adenomas in adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypogonadotropic hypogonadism,Lack of development at puberty development may be very late or incomplete,In girlslack of breast development and menstrual periods,In boys no development of sex characteristics such as enlargement of testes and penis deepening of voice and facial hair,Inability to smell in some cases,Short stature in some cases,Loss of interest in sex libido in men,Loss of menstrual periods amenorrhea in women,Decreased energy and interest in activities,Loss of muscle mass in men,Weight gain,Mood changes,Infertility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypokalemic periodic paralysis,Most commonly occurs at shoulders and hips,May also affect arms legs muscles of eyes and muscles that helpwith breathing and swallowing,Most commonly occurs on awakening or after sleep or rest,Is rare during exercise but may be triggered by resting after exercise,May be triggered by highcarbohydrate highsalt meals stress pregnancy heavy exercise and cold,An attack usually lasts for several hours up today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypomelanosis of Ito,Crossed eyes strabismus,Hearing problems,Increased body hair hirsutism,Scoliosis,Seizures,Streaked whorled or mottled patches of skin on arms legs and middle of body,Intellectual disability including autism spectrum and learning disability,Mouth or tooth problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoparathyroidism,Abdominal pain,Brittle nails,Cataracts,Calcium deposits in some tissues,Decreased consciousness,Dry hair,Dry scaly skin,Muscle cramps,Muscle spasms called tetany can affect larynx causing breathing difficulties,Pain in face legs and feet,Painful menstruation,Seizures,Teeth that do not grow in on time or at all,Tingling lips fingers and toes,Weakened tooth enamel in children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypophosphatemia,Bone pain,Confusion,Muscle weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypopituitarism,Abdominal pain,Decreased appetite,Lack of sex drive in men or women,Dizziness or fainting,Excessive urination and thirst,Failure to release milk in women,Fatigue weakness,Headache,Infertility in women or stopping of menstrual periods,Loss of armpit or pubic hair,Loss of body or facial hair in men,Low blood pressure,Low blood sugar,Sensitivity to cold,Short height less than 5 feet or 15 meters if onset is duringgrowth period,Slowed growth and sexual development in children,Vision problems,Weight loss,Face swelling,Hair loss,Hoarseness or changing voice,Joint stiffness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplastic left heart syndrome,Bluish cyanosis or poor skin color,Cold hands and feet extremities,Lethargy,Poor pulse,Poor suckling and feeding,Pounding heart,Rapid breathing,Shortness of breath,In healthy newborns bluish color in hands and feet isresponse to cold this reaction is called peripheral cyanosis,A bluish color in chest or abdomen lips and tongue is abnormal called central cyanosis,It issign thatre is not enough oxygen in blood,Central cyanosis often increases with crying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypospadias,Abnormal spraying of urine,Having to sit down to urinate,Foreskin that makes penis looks like it hashood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothalamic dysfunction,In childrenre may be growth problems either too much or too little growth,In other children puberty occurs too early or too late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothalamic tumor,Euphoric high sensations,Failure to thrive lack of normal growth in children,Headache,Hyperactivity,Loss of body fat and appetite cachexia,Some tumors may cause vision loss,If tumors block flow of spinal fluid headaches and sleepiness may result from fluid collecting in brain hydrocephalus,Some people can have seizures asresult of brain tumors,Other people may develop precocious puberty fromchange in pituitary gland function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothermia,Drowsiness,Weakness and loss of coordination,Pale and cold skin,Confusion,Uncontrollable shivering although at extremely low body temperatures shivering may stop,Slowed breathing or heart rate,Lethargy cardiac arrest shock and coma can set in without prompt treatment,Hypothermia can be fatal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism,Hard stools or constipation,Feeling cold wearingsweater when others are wearingtshirt,Fatigue or feeling slowed down,Heavier and irregular menstrual periods,Joint or muscle pain,Paleness or dry skin,Sadness or depression,Thin brittle hair or fingernails,Weakness,Weight gain,Decreased taste and smell,Hoarseness,Puffy face hands and feet,Slow speech,Thickening of skin,Thinning of eyebrows,Low body temperature,Slow heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypovolemic shock,Anxiety or agitation,Cool clammy skin,Confusion,Decreased or no urine output,General weakness,Pale skin color pallor,Rapid breathing,Sweating moist skin,Unconsciousness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibuprofen overdose,Eyes ears nose throat and mouth,Ringing in ears,Blurred vision,Gastrointestinal,Diarrhea,Heartburn,Nausea vomiting sometimes bloody,Stomach pain possible bleeding in stomach and intestines,Heart and blood,Low blood pressure shock and weakness,Kidneys,Little to no urine production,Lungs,Breathing  difficult,Breathing  slow,Wheezing,Nervous system,Agitation confusion incoherent not understandable,Drowsiness even coma,Convulsions,Dizziness,Headachesevere,Unsteadiness trouble moving,Skin,Rash,Sweating,Chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
